start,end,worker_id,source,mapping.name,exportID,records.size,message.count,record.id,rdf.file.size
1545236337062,1545236338655,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,52,dbddaf77-d986-46d1-91dc-c0804fca508b,16215,
1545236338692,1545236341133,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,56,c5c3ed63-8e14-4fb3-a07c-c0c51d3ded19,19007,
1545236341192,1545236343229,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,60,ff1df6c1-390a-439e-b172-dabee6f73617,19029,
1545236343262,1545236344804,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,64,6f3f8ed2-e0b5-4ef4-8d58-e85a0bb5aac6,16135,
1545236344831,1545236346538,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,68,91ab47f1-a85f-47cd-88b9-23537ca0478c,16997,
1545236346589,1545236348032,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,72,8006cd2e-4dc9-459a-bc0d-2addb184fe30,16206,
1545236348051,1545236349317,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,76,8c7829a7-2942-4fab-b118-4aecdc7023d8,19024,
1545236349345,1545236350883,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,80,26d0d6c6-0619-43fc-8bfb-e2fba4095c0d,16622,
1545236350930,1545236352469,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,84,39a1793a-2796-4dfb-a0c8-da5d548d2360,16172,
1545236352511,1545236354190,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,88,52062f03-df26-4c45-89b4-d6167bb3d9d9,16644,
1545236354256,1545236355693,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,92,18e46012-2ab4-4dfe-a67f-1d3e7f0484c0,16628,
1545236355731,1545236356802,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,11273475-7b0e-4976-94ec-294db2ffbe27,100,96,36ab8cf0-9723-448e-987b-c2124cdb36ab,19031,
1545236361970,1545236364156,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,0,2015866e-4b2e-4936-a901-db9224f33fcc,16617,
1545236364192,1545236366455,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,4,6a0e677a-e53e-4064-9b76-d9801a0efc60,19006,
1545236366467,1545236367427,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,8,18ba6f44-3552-4edf-866b-ae2f13d7f267,11674,
1545236367468,1545236368702,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,12,fc7b5d44-b936-46dd-93c5-c5238b0a986e,16634,
1545236368749,1545236370173,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,16,b25730c2-d083-4c4c-81ee-dd82c16e2c98,19003,
1545236370208,1545236370826,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,20,6e9a8275-392f-441d-8798-0008f2a31798,15077,
1545236370841,1545236371839,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,24,9a99fe1e-3896-45e5-b1fd-58a402ec5f66,16611,
1545236371910,1545236373770,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,28,fa788909-3782-440d-aa90-e5c41376fe17,16156,
1545236373793,1545236375222,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,32,b975d4f9-53e2-4448-b091-5d8c7e93d48c,16611,
1545236375260,1545236376504,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,36,b64dbed3-31f5-430a-a9c8-9716ccc8c1e7,19005,
1545236376534,1545236378077,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,40,8e22cff6-523e-4ede-86c6-e3049dd372c3,16603,
1545236378114,1545236379430,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,44,be322cea-4dd5-41ef-9e01-ab111b7a0d98,16620,
1545236379473,1545236380481,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,48,7450dc08-c464-4db3-b99d-c57165f45593,19035,
1545236380495,1545236382115,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,52,dbddaf77-d986-46d1-91dc-c0804fca508b,16215,
1545236382170,1545236383665,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,56,c5c3ed63-8e14-4fb3-a07c-c0c51d3ded19,19007,
1545236383721,1545236385343,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,60,ff1df6c1-390a-439e-b172-dabee6f73617,19029,
1545236385393,1545236386521,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,64,6f3f8ed2-e0b5-4ef4-8d58-e85a0bb5aac6,16135,
1545236386593,1545236387655,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,68,91ab47f1-a85f-47cd-88b9-23537ca0478c,16997,
1545236387667,1545236388952,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,72,8006cd2e-4dc9-459a-bc0d-2addb184fe30,16206,
1545236388985,1545236390815,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,76,8c7829a7-2942-4fab-b118-4aecdc7023d8,19024,
1545236390861,1545236391986,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,80,26d0d6c6-0619-43fc-8bfb-e2fba4095c0d,16622,
1545236392018,1545236393198,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,84,39a1793a-2796-4dfb-a0c8-da5d548d2360,16172,
1545236393259,1545236394446,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,88,52062f03-df26-4c45-89b4-d6167bb3d9d9,16644,
1545236394540,1545236395937,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,92,18e46012-2ab4-4dfe-a67f-1d3e7f0484c0,16628,
1545236395966,1545236397527,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,628575e7-2443-44c0-afb7-f9ffd0ab0400,100,96,36ab8cf0-9723-448e-987b-c2124cdb36ab,19031,
1545237128858,1545237130099,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,0,2015866e-4b2e-4936-a901-db9224f33fcc,16617,
1545237130133,1545237131752,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,4,6a0e677a-e53e-4064-9b76-d9801a0efc60,19006,
1545237131773,1545237132215,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,8,18ba6f44-3552-4edf-866b-ae2f13d7f267,11674,
1545237132228,1545237132859,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,12,fc7b5d44-b936-46dd-93c5-c5238b0a986e,16634,
1545237132883,1545237133531,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,6,ad868151-1f82-4500-8fb4-435ae3ef71b7,15790,
1545237133557,1545237134104,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,15,016fff2a-8fcc-4e90-9386-f2b8a9b77211,16600,
1545237134117,1545237134656,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,2,30a09d1e-5339-4007-8ad7-58f442afd366,16168,
1545237134672,1545237135374,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,7,d1f79617-a663-494b-a7d1-cafe7d10e892,16641,
1545237135399,1545237136010,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,14,414a1df6-4aed-48fd-b56b-c22c889eccbb,15821,
1545237136047,1545237136507,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,18,7befadbe-1453-41cf-baf9-2979af09d90f,16203,
1545237136524,1545237137120,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,20,6e9a8275-392f-441d-8798-0008f2a31798,15077,
1545237137162,1545237137667,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,22,dfd5fe9f-d397-4f34-aea4-856049039d3d,16233,
1545237137695,1545237138252,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,24,9a99fe1e-3896-45e5-b1fd-58a402ec5f66,16611,
1545237138263,1545237138893,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,26,8a398761-967b-45b6-a12e-b1c27bed331f,16221,
1545237138913,1545237139400,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,28,fa788909-3782-440d-aa90-e5c41376fe17,16156,
1545237139423,1545237139925,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,30,1827f868-294f-4c41-b0a7-793df45bed96,16159,
1545237139956,1545237140508,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,32,b975d4f9-53e2-4448-b091-5d8c7e93d48c,16611,
1545237140529,1545237141129,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,34,4b41a289-520d-4434-812d-4d44a3304f18,19020,
1545237141143,1545237141667,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,36,b64dbed3-31f5-430a-a9c8-9716ccc8c1e7,19005,
1545237141690,1545237142540,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,38,b45d16d7-8a79-48e3-a2da-c33e18ab0221,16170,
1545237142557,1545237143149,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,40,8e22cff6-523e-4ede-86c6-e3049dd372c3,16603,
1545237143186,1545237143783,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,42,d689cb69-8925-4f5c-8155-36a11de9dcb8,16597,
1545237143805,1545237144477,4b305f3b-c181-4c25-8aab-c17d4b77797c,https://ckan-d4s.d4science.org/,Mapping115,5ba0f701-a48d-4ded-892f-ad55fc3f8a0b,100,44,be322cea-4dd5-41ef-9e01-ab111b7a0d98,16620,
