start,end,source,mapping.name,exportID,records.size
1545667336972,1545667353610,https://ckan-d4s.d4science.org/,Mapping115,e78d5c3c-2dc0-415a-baf3-928fd8944d7d,100
1545667389808,1545667392323,https://ckan-d4s.d4science.org/,Mapping115,739a8019-0369-434e-a051-8c7012d9f62a,100
1545667427601,1545667429887,https://ckan-d4s.d4science.org/,Mapping115,51b46325-94f9-4ba9-8a56-840f09957f37,100
1545667464663,1545667466822,https://ckan-d4s.d4science.org/,Mapping115,fdb34874-b298-4a4e-9f11-59e42e61be4f,100
1545667503034,1545667505499,https://ckan-d4s.d4science.org/,Mapping115,a0faea2d-0ab1-4ebd-a0ec-9b092e9947ca,100
1545667851341,1545667853484,https://ckan-d4s.d4science.org/,Mapping115,dcbe3db3-182d-42db-a3b5-4a7d0d7a9f7e,100
1545667898779,1545667901690,https://ckan-d4s.d4science.org/,Mapping115,1308c1ad-081c-4d70-8a44-5a174779c5ce,100
1545667938958,1545667942135,https://ckan-d4s.d4science.org/,Mapping115,23b949e8-346c-411a-a9a4-28b664b65ba9,100
1545667978348,1545667981082,https://ckan-d4s.d4science.org/,Mapping115,1acdbbcb-9d33-4080-aec0-505261d87d42,100
1545668017830,1545668020708,https://ckan-d4s.d4science.org/,Mapping115,92ff5b25-c132-4e53-aa12-7c7515cec070,100
1545668278701,1545668281637,https://ckan-d4s.d4science.org/,Mapping115,971520bf-5361-4dc4-800f-04f7eb941f17,100
1545668334914,1545668339154,https://ckan-d4s.d4science.org/,Mapping115,a0a395a3-270b-4081-83e6-60e855177ce5,100
1545668378697,1545668382504,https://ckan-d4s.d4science.org/,Mapping115,5a7a8b43-04ae-4b03-963a-908d06df6c41,100
1545668422045,1545668426310,https://ckan-d4s.d4science.org/,Mapping115,21839700-d0f8-4ba6-aa0a-5bbdbb117b02,100
1545668463641,1545668467892,https://ckan-d4s.d4science.org/,Mapping115,c38313a4-87e8-441c-ba4b-a596caacce7f,100
1545668530027,1545668536278,https://ckan-d4s.d4science.org/,Mapping115,1e50e6c3-ae38-4653-8b3f-80e9ba97c6f7,100
1545668593445,1545668600468,https://ckan-d4s.d4science.org/,Mapping115,8b0fca82-8178-4c48-9600-dd34ff4c1472,100
1545668641889,1545668648990,https://ckan-d4s.d4science.org/,Mapping115,bd99882c-5085-4377-a5db-a218d0a09b1a,100
1545668687023,1545668694130,https://ckan-d4s.d4science.org/,Mapping115,2a302c7a-68fd-41b8-b0ef-c4cc6b7a29dc,100
1545668731119,1545668738489,https://ckan-d4s.d4science.org/,Mapping115,bfbf55f7-08b4-49e5-a374-7696d8c6f1d5,100
1545668965201,1545668981514,https://ckan-d4s.d4science.org/,Mapping115,f8259772-3603-43b7-8598-858747a89975,200
1545669065460,1545669069964,https://ckan-d4s.d4science.org/,Mapping115,bc646503-7983-4deb-a6e2-3419a8de5f54,200
1545669169964,1545669173533,https://ckan-d4s.d4science.org/,Mapping115,75285627-dc43-46bc-a2df-18673dfa73fa,200
1545669281779,1545669287711,https://ckan-d4s.d4science.org/,Mapping115,04f5e367-b303-4254-a2e1-35e5425dd64b,200
1545669401894,1545669405967,https://ckan-d4s.d4science.org/,Mapping115,93fdb3f7-84bd-47a2-be5c-6ba2af537fc9,200
1545669683554,1545669687387,https://ckan-d4s.d4science.org/,Mapping115,0f4150ed-813a-42b7-b48b-f68d8db6268f,200
1545669797297,1545669802470,https://ckan-d4s.d4science.org/,Mapping115,fac5cde6-8e7f-46ac-b06a-2957f97ae54d,200
1545669904056,1545669910149,https://ckan-d4s.d4science.org/,Mapping115,85aa8fd4-e524-4b42-96dd-ae56814e92dd,200
1545670015725,1545670020986,https://ckan-d4s.d4science.org/,Mapping115,b2d1304d-3f9d-468b-91fa-e54f0becefc0,200
1545670132212,1545670137041,https://ckan-d4s.d4science.org/,Mapping115,0cd0ea51-39d2-4104-a50a-3fb1541d5bce,200
1545670282129,1545670288196,https://ckan-d4s.d4science.org/,Mapping115,00dd73a7-a05f-459f-ac74-c8edd762b8af,200
1545670404233,1545670411788,https://ckan-d4s.d4science.org/,Mapping115,52cdd940-6deb-420d-8f69-e2447b2caa0f,200
1545670507045,1545670514846,https://ckan-d4s.d4science.org/,Mapping115,0655af03-64bd-4371-92ff-575f26584b0a,200
1545670609187,1545670620525,https://ckan-d4s.d4science.org/,Mapping115,1ab72c6f-8d22-4667-bfea-1e60fc78a99f,200
1545670712445,1545670719458,https://ckan-d4s.d4science.org/,Mapping115,5ed3131f-c7db-4c98-aeeb-7108355e831b,200
1545670847164,1545670859443,https://ckan-d4s.d4science.org/,Mapping115,31f37f17-5665-4bbf-97ed-6b45542edb86,200
1545670976888,1545670992884,https://ckan-d4s.d4science.org/,Mapping115,8b1f9c01-5234-4981-99e6-228f964c8901,200
1545671079418,1545671096920,https://ckan-d4s.d4science.org/,Mapping115,880eb553-5ba6-4afe-8cf2-a96f54cb6e69,200
1545671179264,1545671194856,https://ckan-d4s.d4science.org/,Mapping115,8c1816fe-d007-4f83-b3f0-14de3646071d,200
1545671274182,1545671289223,https://ckan-d4s.d4science.org/,Mapping115,7b5232a0-0d69-4895-810c-384e2b82b971,200
