mysql: [Warning] Using a password on the command line interface can be insecure.
Main	start	elapsed	start_exec	end	CONCAT('consumers',@consumers)
Main	0	94077	1545671274176	94077	consumers8
Service	6	15041	1545671274182	15047	consumers8
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	172	3806	1545671274348	3978	consumers8
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	190	3176	1545671274366	3366	consumers8
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	199	2866	1545671274375	3065	consumers8
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	205	2936	1545671274381	3141	consumers8
Worker21ff7e87-73d7-4854-b154-ecb183668e75	214	2841	1545671274390	3055	consumers8
Worker1f6a22bc-57d3-4b76-9373-1a35d8d23356	260	3043	1545671274436	3303	consumers8
Workerd7da57d6-bddb-4d0c-a4c3-6b834f61acef	298	2846	1545671274474	3144	consumers8
Workerf4628be9-72ea-479c-bfcb-8ea27cd370ea	316	3444	1545671274492	3760	consumers8
Worker21ff7e87-73d7-4854-b154-ecb183668e75	3201	2690	1545671277377	5891	consumers8
Workerd7da57d6-bddb-4d0c-a4c3-6b834f61acef	3288	2471	1545671277464	5759	consumers8
Worker1f6a22bc-57d3-4b76-9373-1a35d8d23356	3415	2626	1545671277591	6041	consumers8
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	3422	3155	1545671277598	6577	consumers8
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	3447	3493	1545671277623	6940	consumers8
Workerf4628be9-72ea-479c-bfcb-8ea27cd370ea	3835	2637	1545671278011	6472	consumers8
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	3861	3527	1545671278037	7388	consumers8
Workerd7da57d6-bddb-4d0c-a4c3-6b834f61acef	5903	2856	1545671280079	8759	consumers8
Worker21ff7e87-73d7-4854-b154-ecb183668e75	5976	3389	1545671280152	9365	consumers8
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	6012	4362	1545671280188	10374	consumers8
Worker1f6a22bc-57d3-4b76-9373-1a35d8d23356	6159	2958	1545671280335	9117	consumers8
Workerf4628be9-72ea-479c-bfcb-8ea27cd370ea	6649	2950	1545671280825	9599	consumers8
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	6813	2889	1545671280989	9702	consumers8
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	7353	3007	1545671281529	10360	consumers8
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	8234	2680	1545671282410	10914	consumers8
Workerd7da57d6-bddb-4d0c-a4c3-6b834f61acef	8887	3057	1545671283063	11944	consumers8
