mysql: [Warning] Using a password on the command line interface can be insecure.
num_of_consumers	speedup	efficiency	records_size
1	1.000000000000000000000000000000	1.000000000000000000000000000000	100
1	0.363897137332603810869530573000	0.363897137332603810869530573000	200
2	0.989722893771129711143002995000	0.494861446885564855571501497500	100
2	0.364316445755473734406659776000	0.182158222877736867203329888000	200
4	0.915551437175900351052265801000	0.228887859293975087763066450250	100
4	0.382649755341888298862730786000	0.095662438835472074715682696500	200
8	0.837655191528560132386627646000	0.104706898941070016548328455750	100
8	0.394500731367407504098344921000	0.049312591420925938012293115125	200
