mysql: [Warning] Using a password on the command line interface can be insecure.
Main	start	elapsed	start_exec	end	CONCAT('consumers',@consumers)
Main	0	107101	1545670712419	107101	consumers4
Service	26	7013	1545670712445	7039	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	197	2065	1545670712616	2262	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	205	1572	1545670712624	1777	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	226	1894	1545670712645	2120	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	273	1527	1545670712692	1800	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	1926	1661	1545670714345	3587	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	2078	1315	1545670714497	3393	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	2295	1539	1545670714714	3834	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	3446	2909	1545670715865	6355	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	3737	1548	1545670716156	5285	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	3747	1307	1545670716166	5054	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	3962	1448	1545670716381	5410	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	5139	1014	1545670717558	6153	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	5497	1608	1545670717916	7105	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	5538	1905	1545670717957	7443	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	6243	1311	1545670718662	7554	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	7220	1411	1545670719639	8631	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	7288	1436	1545670719707	8724	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	7664	1650	1545670720083	9314	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	7735	1770	1545670720154	9505	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	8707	1067	1545670721126	9774	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	9427	1338	1545670721846	10765	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	9772	1831	1545670722191	11603	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	9799	1399	1545670722218	11198	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	9814	1467	1545670722233	11281	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	10848	1460	1545670723267	12308	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	11387	1066	1545670723806	12453	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	11910	1263	1545670724329	13173	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	12318	2111	1545670724737	14429	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	12411	1381	1545670724830	13792	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	12488	1449	1545670724907	13937	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	13377	1464	1545670725796	14841	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	13939	1218	1545670726358	15157	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	14010	1343	1545670726429	15353	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	15244	1492	1545670727663	16736	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	15252	1375	1545670727671	16627	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	15479	1660	1545670727898	17139	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	15485	1762	1545670727904	17247	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	16701	1645	1545670729120	18346	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	17036	1585	1545670729455	18621	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	17237	1480	1545670729656	18717	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	18434	1207	1545670730853	19641	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	18528	1952	1545670730947	20480	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	18873	1319	1545670731292	20192	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	18903	1345	1545670731322	20248	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	19809	1142	1545670732228	20951	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	20260	1525	1545670732679	21785	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	20445	1644	1545670732864	22089	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	21066	1274	1545670733485	22340	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	21472	1973	1545670733891	23445	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	21927	2053	1545670734346	23980	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	22322	1697	1545670734741	24019	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	22475	1721	1545670734894	24196	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	24089	1714	1545670736508	25803	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	24275	1198	1545670736694	25473	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	24316	1305	1545670736735	25621	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	24690	2069	1545670737109	26759	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	25554	1534	1545670737973	27088	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	25949	1837	1545670738368	27786	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	25959	1697	1545670738378	27656	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	27228	1345	1545670739647	28573	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	27468	1698	1545670739887	29166	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	27759	1526	1545670740178	29285	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	27977	1444	1545670740396	29421	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	28619	1568	1545670741038	30187	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	29365	1439	1545670741784	30804	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	29628	1826	1545670742047	31454	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	30235	2302	1545670742654	32537	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	30308	1071	1545670742727	31379	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	30866	1814	1545670743285	32680	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	31437	1401	1545670743856	32838	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	31726	1987	1545670744145	33713	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	32819	1146	1545670745238	33965	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	32926	2175	1545670745345	35101	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	33521	2131	1545670745940	35652	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	34034	2186	1545670746453	36220	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	34145	1748	1545670746564	35893	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	35273	1721	1545670747692	36994	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	36033	1507	1545670748452	37540	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	36565	1895	1545670748984	38460	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	36756	2597	1545670749175	39353	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	37170	1663	1545670749589	38833	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	37677	1482	1545670750096	39159	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	38741	1653	1545670751160	40394	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	38940	1448	1545670751359	40388	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	39282	1312	1545670751701	40594	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	40392	2853	1545670752811	43245	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	40450	1437	1545670752869	41887	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	40560	1190	1545670752979	41750	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	40626	1725	1545670753045	42351	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	42025	1428	1545670754444	43453	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	42157	1496	1545670754576	43653	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	42537	1087	1545670754956	43624	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	43546	1435	1545670755965	44981	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	43767	2812	1545670756186	46579	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	44022	1640	1545670756441	45662	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	44202	2062	1545670756621	46264	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	45148	1269	1545670757567	46417	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	45977	1579	1545670758396	47556	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	46538	1071	1545670758957	47609	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	46695	2117	1545670759114	48812	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	47366	2636	1545670759785	50002	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	47718	1432	1545670760137	49150	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	47738	1349	1545670760157	49087	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	48998	2161	1545670761417	51159	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	49162	1688	1545670761581	50850	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	49453	1288	1545670761872	50741	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	50876	1357	1545670763295	52233	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	50931	1633	1545670763350	52564	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	51001	2184	1545670763420	53185	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	51238	1588	1545670763657	52826	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	52502	1701	1545670764921	54203	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	52686	1412	1545670765105	54098	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	52950	1718	1545670765369	54668	consumers4
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	53955	2326	1545670766374	56281	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	54250	1282	1545670766669	55532	consumers4
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	54530	1658	1545670766949	56188	consumers4
Worker3d97fe31-ecf4-412e-a120-47263fdcbd09	54865	1218	1545670767284	56083	consumers4
Workerbe7db41e-15ed-46b7-9b83-2e7fe69fbb38	55671	1401	1545670768090	57072	consumers4
