mysql: [Warning] Using a password on the command line interface can be insecure.
Main	start	elapsed	start_exec	end	CONCAT('consumers',@consumers)
Main	0	128205	1545669401868	128205	consumers1
Service	26	4073	1545669401894	4099	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	210	486	1545669402078	696	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	914	546	1545669402782	1460	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	1745	589	1545669403613	2334	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	2524	461	1545669404392	2985	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	3259	528	1545669405127	3787	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	4057	325	1545669405925	4382	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	4522	379	1545669406390	4901	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	5003	551	1545669406871	5554	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	5763	559	1545669407631	6322	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	6537	625	1545669408405	7162	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	7403	450	1545669409271	7853	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	8023	373	1545669409891	8396	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	8570	311	1545669410438	8881	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	9066	465	1545669410934	9531	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	9685	476	1545669411553	10161	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	10314	419	1545669412182	10733	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	10836	491	1545669412704	11327	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	11486	332	1545669413354	11818	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	11969	389	1545669413837	12358	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	12471	492	1545669414339	12963	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	13099	332	1545669414967	13431	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	13598	431	1545669415466	14029	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	14174	368	1545669416042	14542	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	14709	462	1545669416577	15171	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	15287	366	1545669417155	15653	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	15753	340	1545669417621	16093	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	16214	439	1545669418082	16653	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	16883	294	1545669418751	17177	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	17329	395	1545669419197	17724	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	18013	543	1545669419881	18556	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	18734	271	1545669420602	19005	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	19143	377	1545669421011	19520	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	19711	452	1545669421579	20163	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	20316	444	1545669422184	20760	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	20923	336	1545669422791	21259	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	21370	359	1545669423238	21729	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	21881	332	1545669423749	22213	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	22356	408	1545669424224	22764	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	22871	418	1545669424739	23289	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	23486	408	1545669425354	23894	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	24024	407	1545669425892	24431	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	24541	752	1545669426409	25293	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	25639	468	1545669427507	26107	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	26277	432	1545669428145	26709	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	26812	447	1545669428680	27259	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	27411	400	1545669429279	27811	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	27979	452	1545669429847	28431	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	28576	511	1545669430444	29087	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	29294	494	1545669431162	29788	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	29903	505	1545669431771	30408	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	30586	390	1545669432454	30976	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	31079	479	1545669432947	31558	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	31666	485	1545669433534	32151	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	32325	609	1545669434193	32934	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	33136	473	1545669435004	33609	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	33919	460	1545669435787	34379	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	34560	448	1545669436428	35008	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	35112	396	1545669436980	35508	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	35614	496	1545669437482	36110	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	36323	480	1545669438191	36803	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	36952	339	1545669438820	37291	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	37489	412	1545669439357	37901	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	38068	381	1545669439936	38449	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	38613	404	1545669440481	39017	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	39120	494	1545669440988	39614	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	39759	504	1545669441627	40263	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	40377	387	1545669442245	40764	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	40947	520	1545669442815	41467	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	41609	418	1545669443477	42027	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	42139	479	1545669444007	42618	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	42867	344	1545669444735	43211	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	43418	403	1545669445286	43821	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	43927	476	1545669445795	44403	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	44509	412	1545669446377	44921	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	45115	387	1545669446983	45502	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	45683	506	1545669447551	46189	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	46296	341	1545669448164	46637	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	46880	365	1545669448748	47245	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	47439	401	1545669449307	47840	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	48120	382	1545669449988	48502	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	48817	384	1545669450685	49201	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	49356	428	1545669451224	49784	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	49961	348	1545669451829	50309	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	50525	354	1545669452393	50879	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	51031	353	1545669452899	51384	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	51554	391	1545669453422	51945	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	52243	332	1545669454111	52575	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	52749	442	1545669454617	53191	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	53420	449	1545669455288	53869	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	54006	449	1545669455874	54455	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	54610	559	1545669456478	55169	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	55336	422	1545669457204	55758	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	55953	368	1545669457821	56321	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	56425	407	1545669458293	56832	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	57065	352	1545669458933	57417	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	57578	494	1545669459446	58072	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	58291	365	1545669460159	58656	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	58939	283	1545669460807	59222	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	59330	512	1545669461198	59842	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	60065	605	1545669461933	60670	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	60868	343	1545669462736	61211	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	61413	363	1545669463281	61776	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	61883	470	1545669463751	62353	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	62476	394	1545669464344	62870	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	62982	582	1545669464850	63564	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	63758	297	1545669465626	64055	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	64163	402	1545669466031	64565	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	64729	369	1545669466597	65098	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	65331	419	1545669467199	65750	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	65917	527	1545669467785	66444	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	66561	658	1545669468429	67219	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	67331	325	1545669469199	67656	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	68018	359	1545669469886	68377	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	68548	446	1545669470416	68994	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	69126	484	1545669470994	69610	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	69721	305	1545669471589	70026	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	70272	420	1545669472140	70692	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	70890	571	1545669472758	71461	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	71573	311	1545669473441	71884	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	72008	634	1545669473876	72642	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	72842	554	1545669474710	73396	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	73511	557	1545669475379	74068	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	74265	588	1545669476133	74853	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	75044	303	1545669476912	75347	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	75484	640	1545669477352	76124	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	76291	632	1545669478159	76923	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	77059	321	1545669478927	77380	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	77507	389	1545669479375	77896	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	78154	344	1545669480022	78498	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	78604	596	1545669480472	79200	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	79349	362	1545669481217	79711	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	79855	466	1545669481723	80321	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	80438	594	1545669482306	81032	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	81166	366	1545669483034	81532	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	81843	388	1545669483711	82231	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	82428	523	1545669484296	82951	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	83146	439	1545669485014	83585	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	83834	458	1545669485702	84292	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	84483	517	1545669486351	85000	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	85123	781	1545669486991	85904	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	86196	789	1545669488064	86985	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	87192	675	1545669489060	87867	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	88105	387	1545669489973	88492	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	88671	469	1545669490539	89140	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	89256	375	1545669491124	89631	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	89803	482	1545669491671	90285	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	90459	544	1545669492327	91003	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	91162	401	1545669493030	91563	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	91858	333	1545669493726	92191	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	92307	454	1545669494175	92761	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	92938	436	1545669494806	93374	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	93546	527	1545669495414	94073	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	94283	377	1545669496151	94660	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	94864	546	1545669496732	95410	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	95591	557	1545669497459	96148	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	96337	301	1545669498205	96638	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	96828	391	1545669498696	97219	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	97636	344	1545669499504	97980	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	98171	754	1545669500039	98925	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	99102	566	1545669500970	99668	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	99870	574	1545669501738	100444	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	100556	394	1545669502424	100950	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	101186	659	1545669503054	101845	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	101967	580	1545669503835	102547	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	102744	422	1545669504612	103166	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	103466	479	1545669505334	103945	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	104173	557	1545669506041	104730	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	104975	757	1545669506843	105732	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	105940	505	1545669507808	106445	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	106571	343	1545669508439	106914	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	107220	387	1545669509088	107607	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	107718	416	1545669509586	108134	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	108282	589	1545669510150	108871	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	109020	321	1545669510888	109341	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	109462	648	1545669511330	110110	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	110293	336	1545669512161	110629	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	110837	486	1545669512705	111323	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	111466	688	1545669513334	112154	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	112360	354	1545669514228	112714	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	112828	773	1545669514696	113601	consumers1
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	113714	354	1545669515582	114068	consumers1
